198|미소한우소고기국밥||경기도 성남시 분당구 삼평동 681번지 1층 N동 124호|1||0|0|0|1000|30|8000
199|치킨 마루(판교 테크노 밸리점)||경기도 성남시 분당구 삼평동 681번지 에이치스퀘어 엔동 101호, 102호|4||0|0|0|1000|30|10000
200|뻘낙지한마당||경기도 성남시 분당구 삼평동 681번지 에이치스퀘어엔동 1층 125호|1||0|0|0|1000|30|8000
201|두부가보쌈애||경기도 성남시 분당구 삼평동 681번지 에이치스퀘어엔동B111호|9||0|0|0|1000|30|10000
202|깐부치킨판교테크노벨리점||경기도 성남시 분당구 삼평동 681번지 H스퀘어엔동105호,106호|4||0|0|0|1000|30|10000
203|엠에스생감자치킨||경기도 성남시 분당구 삼평동 682번지 유스페이스2       1층  111호|4||0|0|0|1000|30|10000
204|한식예찬||경기도 성남시 분당구 삼평동 682번지 유스페이스2  지하1층 푸드코트 B119-7호|1||0|0|0|1000|30|8000
205|원할머니보쌈판교점||경기도 성남시 분당구 삼평동 682번지 유스페이스2 2층 207호|9||0|0|0|1000|30|10000
206|본스치킨 판교테크노밸리점||경기도 성남시 분당구 삼평동 682번지 유스페이스2동 1층  114호,115호|4||0|0|0|1000|30|10000
207|이희김밥||경기도 성남시 분당구 삼평동 684번지 엠타워 1층 118호|3||0|0|0|1000|30|10000
208|한우국밥||경기도 성남시 분당구 삼평동 691번지 디테라스 지1층 105호,106호|1||0|0|0|1000|30|8000
209|신전떡볶이 삼평점||경기도 성남시 분당구 삼평동 708번지 102호 에메트타운|3||0|0|0|1000|30|10000
210|피자마루 동판교점||경기도 성남시 분당구 삼평동 708번지 에메트타운 1층 101호|5||0|0|0|1000|30|10000
211|고봉민김밥인||경기도 성남시 분당구 삼평동 708번지 에메트타운 1층 105호|3||0|0|0|1000|30|10000
212|세느강포차||경기도 성남시 분당구 삼평동 708번지 에메트타운 1층 112호|21||0|0|0|2000|30|12000
213|놀부보쌈&부대찌개 동판교점||경기도 성남시 분당구 삼평동 721번지 스타식스코아I  2층 204, 205호|9||0|0|0|1000|30|10000
214|굽네치킨동판교점||경기도 성남시 분당구 삼평동 726번지 가상가동 103호|4||0|0|0|1000|30|10000
215|원조장충왕족발삼평점||경기도 성남시 분당구 삼평동 726번지 가상가동 1층 101호|9||0|0|0|1000|30|10000
216|포장횟집||경기도 성남시 분당구 삼평동 728번지|7||0|0|0|1000|30|10000
217|투다리봇들점||경기도 성남시 분당구 삼평동 728번지 가상가동  201호|21||0|0|0|2000|30|12000
218|치킨89||경기도 성남시 분당구 삼평동 728번지 가상가동 1층 102호|4||0|0|0|1000|30|10000
219|하이덴치킨||경기도 성남시 분당구 삼평동 728번지 나상가동 102호|4||0|0|0|1000|30|10000
220|비비큐치킨||경기도 성남시 분당구 삼평동 728번지 봇들마을 가상가동 101호|4||0|0|0|1000|30|10000
221|캘리포니아피자키친판교아브뉴프랑점||경기도 성남시 분당구 삼평동 740번지 판교호반써밋플레이스 2층 205,206,207호|5||0|0|0|1000|30|10000
222|하늘채 칼국수전문점||경기도 성남시 분당구 삼평동 741번지 월드마크  2층 2-32호|1||0|0|0|1000|30|8000
223|홀썸치킨||경기도 성남시 분당구 삼평동 741번지 판교푸르지오월드마크 1층 1-66호, 1-67호|4||0|0|0|1000|30|10000
224|고봉민김밥인 성남분당판교점||경기도 성남시 분당구 삼평동 741번지 판교푸르지오월드마크 1층 1-87호|3||0|0|0|1000|30|10000
225|깐부치킨삼평점||경기도 성남시 분당구 삼평동 744번지 봇들마을 금호A 상가동 107호|4||0|0|0|1000|30|10000
226|백년대가화식한우||경기도 성남시 분당구 서현동 196번지 13호|1||0|0|0|1000|30|8000
227|치킨히어로서현점||경기도 성남시 분당구 서현동 231번지 21호 1층|4||0|0|0|1000|30|10000
228|한신포차(서현점)||경기도 성남시 분당구 서현동 245번지 2호 보람코아 2층  201호,202호,203호,204호|21||0|0|0|2000|30|12000
229|라면국물 편의점포차||경기도 성남시 분당구 서현동 245번지 2호 보람코아 301호,302호|21||0|0|0|2000|30|12000
230|서현포차||경기도 성남시 분당구 서현동 245번지 2호 보람코아 지하1층  비101호~비104호|21||0|0|0|2000|30|12000
231|피자헤븐 분당서현점||경기도 성남시 분당구 서현동 245번지 3호 성지하이츠텔 2층 204호 일부|5||0|0|0|1000|30|10000
232|원할머니보쌈족발&박가부대 분당서현점||경기도 성남시 분당구 서현동 245번지 4호 엘지분당에클라트2차 202호|9||0|0|0|1000|30|10000
233|동대문엽기떡볶이(서현점)||경기도 성남시 분당구 서현동 245번지 4호 엘지분당에클라트2차 209|3||0|0|0|1000|30|10000
234|나로도치킨||경기도 성남시 분당구 서현동 245번지 4호 엘지분당에클라트2차 2층 208호)|4||0|0|0|1000|30|10000
